,userId,movieId,rating,timestamp
3240000,22149,788,3.0,952641265
3240001,22149,800,5.0,952643015
3240002,22149,832,2.0,952643988
3240003,22149,849,3.0,952639840
3240004,22149,858,5.0,952637875
3240005,22149,866,4.0,952640202
3240006,22149,903,4.0,952642974
3240007,22149,904,4.0,952642974
3240008,22149,912,5.0,952640780
3240009,22149,913,5.0,952641410
3240010,22149,919,3.0,952639435
3240011,22149,920,4.0,952641090
3240012,22149,923,4.0,952640813
3240013,22149,924,3.0,952642336
3240014,22149,952,2.0,952639635
3240015,22149,968,5.0,952641991
3240016,22149,969,4.0,952637938
3240017,22149,991,3.0,952644790
3240018,22149,1009,1.0,952639801
3240019,22149,1017,2.0,952639635
3240020,22149,1036,4.0,952638127
3240021,22149,1047,4.0,952638604
3240022,22149,1061,3.0,952640323
3240023,22149,1077,4.0,952642390
3240024,22149,1078,3.0,952644470
3240025,22149,1080,3.0,952554420
3240026,22149,1084,4.0,952639973
3240027,22149,1089,3.0,952639973
3240028,22149,1090,4.0,952644566
3240029,22149,1092,4.0,952643152
3240030,22149,1094,5.0,952644471
3240031,22149,1097,5.0,952554420
3240032,22149,1101,3.0,952638604
3240033,22149,1128,1.0,952642127
3240034,22149,1129,2.0,952638355
3240035,22149,1130,4.0,952641945
3240036,22149,1148,5.0,952640597
3240037,22149,1179,3.0,952640012
3240038,22149,1183,3.0,952644566
3240039,22149,1193,5.0,952640861
3240040,22149,1196,5.0,952637875
3240041,22149,1197,4.0,952638064
3240042,22149,1198,4.0,952637875
3240043,22149,1199,4.0,952642336
3240044,22149,1200,3.0,952637938
3240045,22149,1201,3.0,952637938
3240046,22149,1204,5.0,952639435
3240047,22149,1206,5.0,952642390
3240048,22149,1207,4.0,952640861
3240049,22149,1208,5.0,952644416
3240050,22149,1210,4.0,952637939
3240051,22149,1213,5.0,952639973
3240052,22149,1214,5.0,952638007
3240053,22149,1217,5.0,952644471
3240054,22149,1219,4.0,952641804
3240055,22149,1220,2.0,952638355
3240056,22149,1221,5.0,952637875
3240057,22149,1222,5.0,952637939
